consent_id,customer_id,fip_name,fiu_name,purpose,data_requested,fetch_frequency,validity_start,validity_end,status,created_at,expires_at,data_types,purpose_code
consent_7e3cb60db6,cust_9d6cacdc98,HDFC Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_ea76cede3b,cust_86838bd208,HDFC Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_e9a911cc79,cust_8f67be01ae,ICICI Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_b828323959,cust_131f5dc26e,ICICI Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_f42c3ef7bc,cust_7ea03730c6,Punjab National Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_3fba48272f,cust_acab38f226,ICICI Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_2c2130e407,cust_52af141aff,State Bank of India,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_362a090fbe,cust_6b2a008a61,ICICI Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_8409318b44,cust_1a49ad0899,HDFC Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_27557fc27b,cust_dfccb7ab4d,Axis Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_40030b59cf,cust_f7aebb5b57,Bank of Baroda,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_935736a747,cust_59f3d1d2c0,Bank of Baroda,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_e7fb6d3cb1,cust_01504fdeb8,Axis Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_fb134eb314,cust_63d81ca24e,Bank of Baroda,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_d120b4d6af,cust_3f9c441822,ICICI Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_b3754a8ad3,cust_5e3e5e66b6,Bank of Baroda,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_5880aaa6a3,cust_f6ba2d9037,Punjab National Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_911c7e1cdc,cust_8ab6c38f9c,State Bank of India,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_549ee66848,cust_5949e29f28,Bank of Baroda,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_4448779573,cust_ae6453a2d7,HDFC Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_d1bda4cfd4,cust_ad0f51974b,Punjab National Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_77b2e93f2c,cust_fd0872c1e7,ICICI Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_379d99d80b,cust_c6b2e6d815,Bank of Baroda,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_5f442bb49d,cust_2d0900313b,ICICI Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_415f4b1184,cust_8d08482557,Bank of Baroda,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_b070a0ea35,cust_e54d42078a,Bank of Baroda,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_22ab728f61,cust_a959fc2cf0,ICICI Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_dc7c096c63,cust_b4e4801cfe,Punjab National Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_a484b15b5e,cust_a8a2b8f1e5,State Bank of India,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_7195afeda7,cust_bcbbc71341,HDFC Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
consent_7ad9f7ba42,cust_5b90bc9fc0,ICICI Bank,Sahaay AI,"Personalized recommendations, onboarding assistance, and early-warning support","12 months of transactions, account balance, EMI schedule",daily,2026-09-11,2027-09-11,ACTIVE,,,,
