customer_id,age,gender,city,state,tier,language_preference,income_type_declared,avg_monthly_income,income_pattern,avg_income_per_credit,income_credit_count,income_interval_days_mean,income_interval_days_std,income_amount_cv,rolling_income_30d_mean,rolling_income_30d_std,avg_monthly_savings_rate,savings_rate_trend,balance_trend,has_active_loans,num_active_loans,total_monthly_emi,emi_to_income_ratio,missed_emi_count,late_emi_count,emi_on_time_rate,max_days_late,essential_spend_share,discretionary_spend_share,cash_withdrawal_share,new_device_rate,new_beneficiary_rate,new_merchant_rate,txn_velocity_last_7d,num_distinct_devices,data_coverage_score,data_quality_score,overall_confidence_score,overall_confidence_band,data_coverage_note,overall_confidence,profile_computed_at,archetype_ground_truth,split
cust_9d6cacdc98,59,Male,Delhi,Delhi,Tier 1,Kannada,gig_irregular,14447.81,gig_irregular,2134.34,88,3.56,1.51,0.499,14265.5,1172.47,0.6813,-0.01206,11532.38,True,1,24060.31,1.665,0,0,1.0,0,0.636,0.364,0.0,0.0,0.0,0.0,4,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.621681+00:00,gig_irregular,train
cust_86838bd208,58,Other,Bengaluru,Karnataka,Tier 1,Gujarati,salaried,39655.61,salaried_regular,42960.24,12,29.64,1.15,0.0,42960.24,0.0,0.4419,-0.02311,18186.7,True,2,25393.47,0.64,0,0,1.0,0,0.467,0.372,0.152,0.0,0.0,0.0,4,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.635036+00:00,stable_salaried,train
cust_8f67be01ae,31,Male,Jhansi,Uttar Pradesh,Tier 3,Gujarati,salaried,38043.95,salaried_regular,41214.28,12,29.36,0.48,0.0,82428.56,0.0,0.5207,-0.02572,21545.97,True,2,20067.7,0.527,0,0,1.0,0,0.573,0.351,0.215,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.651623+00:00,stable_salaried,train
cust_131f5dc26e,23,Female,Indore,Madhya Pradesh,Tier 2,Bengali,salaried,78087.92,salaried_regular,84595.25,12,29.64,0.64,0.0,169190.5,0.0,0.4448,-0.02392,37676.48,True,1,7083.26,0.091,0,0,1.0,0,0.517,0.332,0.169,0.0,0.0,0.0,1,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.666065+00:00,stable_salaried,train
cust_7ea03730c6,26,Male,Guna,Madhya Pradesh,Tier 3,Tamil,salaried,35797.25,mixed_or_business,35797.25,12,30.0,2.7,0.372,28323.1,0.0,-0.1116,-0.27435,9159.28,True,2,19838.6,0.554,5,3,0.667,999,0.891,0.025,0.34,0.0,0.0,0.0,4,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.684641+00:00,financially_stressed,test
cust_acab38f226,56,Male,Bilaspur,Chhattisgarh,Tier 3,Marathi,gig_irregular,14532.89,gig_irregular,2332.44,81,3.92,1.45,0.462,17462.75,1015.29,0.6628,-0.01337,10964.32,False,0,0.0,0.0,0,0,1.0,0,0.698,0.302,0.0,0.0,0.0,0.0,4,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.700402+00:00,gig_irregular,train
cust_52af141aff,45,Female,Jhansi,Uttar Pradesh,Tier 3,Gujarati,salaried,35491.97,mixed_or_business,38449.63,12,29.82,1.9,0.372,30421.68,0.0,-0.0539,-0.1973,8763.49,True,1,24031.76,0.677,3,3,0.5,999,0.903,0.017,0.141,0.0,0.0,0.0,2,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.709627+00:00,financially_stressed,train
cust_6b2a008a61,43,Other,Chhindwara,Madhya Pradesh,Tier 4,Hindi,salaried,65976.67,salaried_regular,65976.67,12,29.45,0.89,0.0,65976.67,0.0,0.5347,-0.01821,34069.49,True,2,15076.98,0.229,0,0,1.0,0,0.616,0.312,0.172,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.728058+00:00,stable_salaried,train
cust_1a49ad0899,37,Other,Chhindwara,Madhya Pradesh,Tier 4,Telugu,salaried,34592.46,salaried_regular,37475.16,12,29.36,0.77,0.0,74950.32,0.0,0.4436,-0.02986,16929.32,True,1,6108.78,0.177,0,0,1.0,0,0.543,0.357,0.171,0.0,0.0,0.0,1,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.742225+00:00,stable_salaried,train
cust_dfccb7ab4d,56,Female,Mumbai,Maharashtra,Tier 1,Kannada,salaried,79362.9,salaried_regular,85976.47,12,29.45,0.78,0.0,171952.94,0.0,0.4506,-0.02777,38251.07,True,1,24866.48,0.313,0,0,1.0,0,0.528,0.328,0.195,0.0,0.0,0.0,3,1,1.0,1.0,0.955,HIGH,,"{'overall_confidence_score': 0.955, 'overall_confidence_band': 'HIGH', 'data_coverage_score': 1.0, 'data_quality_score': 1.0, 'model_confidence': 0.85, 'data_coverage_note': None}",2026-09-12T10:38:08.758536+00:00,stable_salaried,train
